Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
01-01-2023,Text Post,Text Post,4,5,5
01-01-2023,Level,Visual,0,2,89
01-01-2023,Goal,Visual,0,29,61
01-01-2023,Streak,Visual,0,6,30
01-01-2023,Collection,Visual,0,1,40
01-01-2023,Course Certificate,Visual,0,7,39
02-01-2023,Text Post,Text Post,1,1,1
02-01-2023,Level,Visual,0,1,134
02-01-2023,Goal,Visual,0,1,4
02-01-2023,Streak,Visual,0,3,19
02-01-2023,Collection,Visual,0,0,74
02-01-2023,Course Certificate,Visual,0,15,58
03-01-2023,Text Post,Text Post,1,1,1
03-01-2023,Level,Visual,0,6,136
03-01-2023,Streak,Visual,0,3,15
03-01-2023,Collection,Visual,0,0,79
03-01-2023,Course Certificate,Visual,0,11,36
04-01-2023,Text Post,Text Post,1,3,3
04-01-2023,Level,Visual,0,3,136
04-01-2023,Streak,Visual,0,4,18
04-01-2023,Collection,Visual,0,1,61
04-01-2023,Course Certificate,Visual,3,17,59
05-01-2023,Text Post,Text Post,1,2,2
05-01-2023,Level,Visual,2,9,136
05-01-2023,Streak,Visual,0,4,31
05-01-2023,Collection,Visual,0,6,69
05-01-2023,Course Certificate,Visual,0,6,53
06-01-2023,Level,Visual,1,3,137
06-01-2023,Streak,Visual,0,4,28
06-01-2023,Collection,Visual,0,0,57
06-01-2023,Course Certificate,Visual,1,9,52
07-01-2023,Level,Visual,0,1,102
07-01-2023,Goal,Visual,0,2,3
07-01-2023,Streak,Visual,0,7,39
07-01-2023,Collection,Visual,0,2,56
07-01-2023,Course Certificate,Visual,1,7,35
07-01-2023,Career Track Certificate,Visual,1,1,2
08-01-2023,Level,Visual,1,4,147
08-01-2023,Goal,Visual,0,32,62
08-01-2023,Streak,Visual,0,6,29
08-01-2023,Collection,Visual,0,2,55
08-01-2023,Course Certificate,Visual,0,11,79
09-01-2023,Text Post,Text Post,1,1,1
09-01-2023,Level,Visual,0,2,116
09-01-2023,Goal,Visual,0,0,2
09-01-2023,Streak,Visual,0,5,28
09-01-2023,Collection,Visual,1,5,79
09-01-2023,Course Certificate,Visual,2,9,47
09-01-2023,Career Track Certificate,Visual,1,1,1
10-01-2023,Text Post,Text Post,2,2,2
10-01-2023,Level,Visual,0,0,135
10-01-2023,Streak,Visual,0,7,28
10-01-2023,Collection,Visual,0,1,60
10-01-2023,Course Certificate,Visual,0,8,44
10-01-2023,Career Track Certificate,Visual,1,1,2
11-01-2023,Text Post,Text Post,3,3,3
11-01-2023,Level,Visual,2,4,135
11-01-2023,Streak,Visual,1,4,24
11-01-2023,Collection,Visual,0,2,62
11-01-2023,Course Certificate,Visual,0,11,49
11-01-2023,Career Track Certificate,Visual,0,0,1
12-01-2023,Level,Visual,0,3,127
12-01-2023,Streak,Visual,0,7,26
12-01-2023,Collection,Visual,0,2,59
12-01-2023,Course Certificate,Visual,1,13,46
13-01-2023,Text Post,Text Post,2,2,2
13-01-2023,Level,Visual,0,6,127
13-01-2023,Streak,Visual,0,5,42
13-01-2023,Collection,Visual,0,3,49
13-01-2023,Course Certificate,Visual,0,18,54
14-01-2023,Text Post,Text Post,1,1,1
14-01-2023,Level,Visual,0,11,108
14-01-2023,Goal,Visual,0,3,5
14-01-2023,Streak,Visual,0,10,36
14-01-2023,Collection,Visual,0,1,26
14-01-2023,Course Certificate,Visual,0,35,77
14-01-2023,Career Track Certificate,Visual,0,3,4
15-01-2023,Text Post,Text Post,1,2,2
15-01-2023,Level,Visual,0,3,133
15-01-2023,Goal,Visual,0,35,73
15-01-2023,Streak,Visual,0,7,29
15-01-2023,Collection,Visual,0,0,52
15-01-2023,Course Certificate,Visual,1,9,66
16-01-2023,Text Post,Text Post,2,2,2
16-01-2023,Level,Visual,0,4,119
16-01-2023,Goal,Visual,0,1,2
16-01-2023,Streak,Visual,1,8,17
16-01-2023,Collection,Visual,0,1,57
16-01-2023,Course Certificate,Visual,0,9,88
17-01-2023,Level,Visual,0,2,149
17-01-2023,Streak,Visual,1,9,24
17-01-2023,Collection,Visual,0,2,65
17-01-2023,Course Certificate,Visual,0,11,60
17-01-2023,Career Track Certificate,Visual,1,1,1
18-01-2023,Text Post,Text Post,0,1,1
18-01-2023,Level,Visual,0,4,138
18-01-2023,Streak,Visual,0,4,22
18-01-2023,Collection,Visual,0,3,70
18-01-2023,Course Certificate,Visual,1,10,60
19-01-2023,Text Post,Text Post,1,1,1
19-01-2023,Level,Visual,1,1,130
19-01-2023,Streak,Visual,0,6,24
